"AssetTag","Name","Model","WarrantyExpires","Status","DaysRemaining","PurchaseDate","PurchaseCost"
"364","","HP Chromebook 14 G7","N/A","No Warranty Data",,"N/A","400.00"
"89","","HP Chromebook 14 G7","N/A","No Warranty Data",,"N/A","400.00"
"712","","Chromebook 14 G6","N/A","No Warranty Data",,"N/A","400.00"
"888","","Dell Chromebook 3400","N/A","No Warranty Data",,"N/A","400.00"
"1924","","HP Chromebook 14 G7","N/A","No Warranty Data",,"N/A","400.00"
"1198","","Dell Chromebook 3400","N/A","No Warranty Data",,"N/A","400.00"
"CB-828-D06Z5Y2","","Dell Chromebook 3400","N/A","No Warranty Data",,"N/A","400.00"
"349","","HP Chromebook 14 G7","N/A","No Warranty Data",,"N/A","400.00"
"2566","","Dell Chromebook 3110","N/A","No Warranty Data",,"N/A","400.00"
"536","","HP Chromebook 14 G7","N/A","No Warranty Data",,"N/A","400.00"
"2298","","Dell Chromebook 3110","N/A","No Warranty Data",,"N/A","400.00"
"1125","","HP Chromebook 14 G7","N/A","No Warranty Data",,"N/A","400.00"
"355","","HP Chromebook 14 G7","N/A","No Warranty Data",,"N/A","400.00"
"2631","","Dell Chromebook 3110","N/A","No Warranty Data",,"N/A","400.00"
"2152","","HP Chromebook 14 G7","N/A","No Warranty Data",,"N/A","400.00"
"365","","HP Chromebook 14 G7","N/A","No Warranty Data",,"N/A","400.00"
"656","","Dell Chromebook 3400","N/A","No Warranty Data",,"N/A","400.00"
"1977","","HP Chromebook 14 G7","N/A","No Warranty Data",,"N/A","400.00"
"1sw3kc","","Lenovo 14e Chromebook, Lenovo Chromebook S345-14","N/A","No Warranty Data",,"N/A","400.00"
"765","","Dell Chromebook 3400","N/A","No Warranty Data",,"N/A","400.00"
"1427","","Lenovo 14e Chromebook, Lenovo Chromebook S345-14","N/A","No Warranty Data",,"N/A","400.00"
"615","","Dell Chromebook 3400","N/A","No Warranty Data",,"N/A","400.00"
"2104","","HP Chromebook 14 G7","N/A","No Warranty Data",,"N/A","400.00"
"CB-924-J8S16Y2","","Dell Chromebook 3400","N/A","No Warranty Data",,"N/A","400.00"
"1132","","Chromebook 14 G6","N/A","No Warranty Data",,"N/A","400.00"
"1867","","HP Chromebook 14 G7","N/A","No Warranty Data",,"N/A","400.00"
"490","","Chromebook 14 G6","N/A","No Warranty Data",,"N/A","400.00"
"84","","HP Chromebook 14 G7","N/A","No Warranty Data",,"N/A","400.00"
"1415","","Dell Chromebook 3400","N/A","No Warranty Data",,"N/A","400.00"
"1sngqn","","Lenovo 14e Chromebook, Lenovo Chromebook S345-14","N/A","No Warranty Data",,"N/A","400.00"
"908","","Dell Chromebook 3400","N/A","No Warranty Data",,"N/A","400.00"
"1SW2CJ","","Lenovo 14e Chromebook, Lenovo Chromebook S345-14","N/A","No Warranty Data",,"N/A","400.00"
"1446","","Lenovo 14e Chromebook, Lenovo Chromebook S345-14","N/A","No Warranty Data",,"N/A","400.00"
"572","","Chromebook 14 G6","N/A","No Warranty Data",,"N/A","400.00"
"1swbq3","","Lenovo 14e Chromebook, Lenovo Chromebook S345-14","N/A","No Warranty Data",,"N/A","400.00"
"706","","Chromebook 14 G6","N/A","No Warranty Data",,"N/A","400.00"
"2805","","Dell Chromebook 3110","N/A","No Warranty Data",,"N/A","400.00"
"2667","","Dell Chromebook 3110","N/A","No Warranty Data",,"N/A","400.00"
"2613","","Dell Chromebook 3110","N/A","No Warranty Data",,"N/A","400.00"
"407","","HP Chromebook 14 G7","N/A","No Warranty Data",,"N/A","400.00"
"380","","HP Chromebook 14 G7","N/A","No Warranty Data",,"N/A","400.00"
"1766","","HP Chromebook 14 G7","N/A","No Warranty Data",,"N/A","400.00"
"2134","","HP Chromebook 14 G7","N/A","No Warranty Data",,"N/A","400.00"
"305","","HP Chromebook 14 G7","N/A","No Warranty Data",,"N/A","400.00"
"1812","","HP Chromebook 14 G7","N/A","No Warranty Data",,"N/A","400.00"
"1SW5GH","","Lenovo 14e Chromebook, Lenovo Chromebook S345-14","N/A","No Warranty Data",,"N/A","400.00"
"CB-N1002-92116Y2","","Dell Chromebook 3400","N/A","No Warranty Data",,"N/A","400.00"
"623","","Dell Chromebook 3400","N/A","No Warranty Data",,"N/A","400.00"
"1958","","HP Chromebook 14 G7","N/A","No Warranty Data",,"N/A","400.00"
"1215","","Lenovo 14e Chromebook, Lenovo Chromebook S345-14","N/A","No Warranty Data",,"N/A","400.00"
"1234","","Chromebook 14 G6","N/A","No Warranty Data",,"N/A","400.00"
"953","","Dell Chromebook 3400","N/A","No Warranty Data",,"N/A","400.00"
"1258","","HP Chromebook 14 G7","N/A","No Warranty Data",,"N/A","400.00"
